show_id,tmdb_id,tmdb_title,tmdb_original_title,tmdb_media_type,tmdb_release_date,imdb_rating,imdb_votes,tmdb_popularity,tmdb_original_language,tmdb_adult
s1014,376290,Miss Sloane,Miss Sloane,movie,2016-11-25,7.417,1908,2.1338,en,FALSE
s1042,396263,GANTZ:O,GANTZ:O,movie,2016-10-14,7.316,798,6.0052,ja,FALSE
s1065,64840,Signal,시그널,tv,2016-01-22,8.2,169,2.9639,ko,FALSE
s1087,517705,Ojukokoro: Greed,Ojukokoro: Greed,movie,2016-11-17,5.5,2,0.1011,en,FALSE
s1121,390734,Kingsglaive: Final Fantasy XV,キングスグレイブ ファイナルファンタジーXV,movie,2016-07-09,6.751,727,2.2657,ja,FALSE
s1134,407375,Sniper: Ghost Shooter,Sniper: Ghost Shooter,movie,2016-08-02,6.3,277,3.2299,en,FALSE
s1142,275269,Wazir,वज़ीर,movie,2016-01-07,6.681,130,2.0472,hi,FALSE
s1204,267935,The BFG,The BFG,movie,2016-06-01,6.287,3531,4.6328,en,FALSE
s1220,445650,You're Everything To Me,Sen Benim Her Şeyimsin,movie,2016-12-09,6,37,0.4061,tr,FALSE
s1260,334533,Captain Fantastic,Captain Fantastic,movie,2016-07-08,7.89,6655,3.8176,en,FALSE
s1285,259693,The Conjuring 2,The Conjuring 2,movie,2016-06-08,7.294,8950,9.0126,en,FALSE
s1322,68734,El Chema,El Chema,tv,2016-12-06,7.646,742,4.2709,es,FALSE
s1334,308266,War Dogs,War Dogs,movie,2016-08-18,6.929,5256,4.8258,en,FALSE
s1398,258230,A Monster Calls,A Monster Calls,movie,2016-10-07,7.3,3479,2.3049,en,FALSE
